,feature_count,external_feature_count,fit_time_mean,fit_time_std,score_time_mean,score_time_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
0,1,1,0.0632260799407959,0.0025342306255955295,0.5460418701171875,0.013404621392825576,0.5142507150300424,0.0,0.33653073710862014,0.0,0.5,0.0,0.37856290312746543,0.0
1,2,1,0.12817802429199218,0.0011165410471737822,0.6537709712982178,0.009098514798327255,0.7545577160425397,6.394376840067093e-05,0.6143834294980801,5.7284678900293644e-05,0.7473560892486287,6.581947432566168e-05,0.6614884346768636,5.011657492460569e-05
2,3,1,0.14219422340393068,0.001409758194878804,0.66499924659729,0.006048439018848878,0.7821467899400631,0.00010167634896897712,0.8285410297248639,0.00034273771609847346,0.7757547162422482,0.00010465923788075598,0.7287707104343524,0.00012894072000321845
3,4,1,0.15392684936523438,0.00190403743264755,0.6689141750335693,0.0034324357179307177,0.7991083372133414,0.0001916846152188501,0.8258851394842956,0.00030570150398150656,0.7932140257500232,0.00019730857988994172,0.7667308880810466,0.0002684187345228725
4,5,1,0.17151165008544922,0.001971505503817567,0.6726205825805665,0.007359806795520425,0.799360352969869,0.00019263043262329638,0.8263069574744586,0.0003051199393803018,0.7934734360290605,0.00019828215327588012,0.7671674465433682,0.0002704556871591554
5,6,2,0.1880870819091797,0.003783062988939276,0.7001251220703125,0.015003829083182749,0.9380384896791787,0.00014141449885770254,0.947868899811646,0.00012084666272735749,0.9362209086056694,0.00014556314576033477,0.9354014889560197,0.0001477852606806513
6,7,3,0.20577330589294435,0.002355532613934188,0.7187025547027588,0.010819951086531278,0.9380540097111056,0.00013925046919184707,0.9478869176846689,0.00011882815219527367,0.9362369472702075,0.00014338127868160526,0.9354170919060181,0.00014567291262145634
7,8,3,0.2145692825317383,0.005973065167040174,0.7421298027038574,0.012368277561390004,0.9380525316128269,0.00013923968222165754,0.9478859267525561,0.00011882561382727979,0.9362355101272476,0.00014337079409149715,0.9354157695398868,0.0001456618168234061
8,9,3,0.2304002285003662,0.0025929345857792314,0.7443274021148681,0.012103803615273499,0.9380540097111056,0.0001397594487469852,0.9478875772469845,0.00011942941001390436,0.9362370315951598,0.0001439057511191594,0.9354172398885181,0.0001461751629668443
9,10,3,0.242120361328125,0.005419915821399884,0.7578159809112549,0.013552766704189737,0.9380540097111056,0.0001397594487469852,0.9478875772469845,0.00011942941001390436,0.9362370315951598,0.0001439057511191594,0.9354172398885181,0.0001461751629668443
10,11,3,0.2592740535736084,0.004711693924549338,0.7726349353790283,0.012733188706482509,0.9325857851288533,0.00026083566490892865,0.9331169171356158,0.000406346049821039,0.9306082668135067,0.0002684976663894129,0.930351152167416,0.00026125045809861474
11,12,3,0.2810362815856934,0.0040370965436506215,0.7928677082061768,0.004502692538988389,0.9334704269486878,0.000839960641294951,0.934353968170932,0.001244349093301774,0.9315188678821666,0.0008646183567219771,0.9312460343009213,0.0008453330436928247
12,13,3,0.29834837913513185,0.006733777112106412,0.797885513305664,0.012259191048690226,0.9350948569570392,0.00017419468171465762,0.9343528902452608,0.00020325492805426532,0.9332544074658837,0.00017759062083171962,0.9331800360800528,0.00017612189321214032
13,14,3,0.3107789993286133,0.004035120175263473,0.8238510131835938,0.009599527401617113,0.9337933914225957,0.0007425638292339821,0.9330213327671292,0.0009333689651128048,0.9319564984641886,0.0007627707665315643,0.9319237732969755,0.0007574497853774622
14,15,3,0.327818775177002,0.002646168885862852,0.8383468151092529,0.014540249311948986,0.9327080977614202,0.0012464449906344703,0.9317340325829976,0.0016171993532779444,0.9308383466239313,0.0012812026643311712,0.9308074418605535,0.0012711714592632847
15,16,3,0.3483870983123779,0.00796941600102545,0.8595932006835938,0.016329634607077412,0.9313822436053772,0.00040559189141637904,0.9305876461125845,0.0005980830791542801,0.9295067198185872,0.0004169792166976698,0.9295014352175885,0.00041106871419381786
16,17,3,0.35785975456237795,0.004293222316901952,0.8695209980010986,0.010931211004736678,0.9279874213836476,0.0013938760661026239,0.9269961348022171,0.0017671972960171566,0.9260986390509114,0.0014340083915262297,0.9261824084659116,0.001429800460274511
17,18,3,0.3824873447418213,0.006991526489834498,0.8815696239471436,0.004560277862776555,0.9216327073587124,0.0004358438521205958,0.9196545263374173,0.00043557781926212985,0.9195494116763608,0.0004469291228249758,0.9195645337680818,0.00045940998317840575
18,19,3,0.39679503440856934,0.004945004927104882,0.899760389328003,0.013783293404870675,0.9177704365563267,0.0003651804007942343,0.9158317254644259,0.0003465605167600192,0.9155664291412291,0.0003721732121697943,0.9155110136070853,0.00038050337744781294
19,20,3,0.41074538230895996,0.004551613574853295,0.915239953994751,0.011771559898744191,0.918493965663777,0.0009449863893442441,0.9165085330699758,0.0009187288362003115,0.9162958407670615,0.0009696484048593816,0.9162413723088921,0.00098685700860977
20,21,3,0.4363736152648926,0.004818185386205602,0.9427795886993409,0.02262808403503422,0.9170166064341618,0.0005224306426775298,0.9151816203100476,0.00047042208075897797,0.9147965680556446,0.0005342692191187084,0.9147174061547734,0.0005524417893853077
21,22,3,0.4584211826324463,0.009037921781756397,0.9639922618865967,0.02239498708003304,0.916659276175273,0.0012814204216116643,0.9148334283567878,0.001198847532303771,0.9144253170576446,0.0013149272098431544,0.9143377792210352,0.0013464155374872636
22,23,3,0.47419562339782717,0.006916278535309732,0.9683226108551025,0.016219552410623186,0.9168048688557302,0.0017786420967676403,0.9149652688137262,0.0016909088285602459,0.9145718094019337,0.0018267900844909347,0.9144863927032485,0.001865376039665878
23,24,4,0.490479040145874,0.005722018369767408,1.0252453327178954,0.024895531015488526,0.9179651760045526,0.0022945754240335063,0.9161408414489649,0.0021785927144355793,0.9157541205920582,0.0023593361383344516,0.9156616458523029,0.0024129566342075723
24,25,5,0.5183303356170654,0.006650908144743509,1.0242051601409912,0.019597471547405716,0.9601098227021113,0.0021828930131593373,0.9594019712728098,0.0024268430936807486,0.9591352608992729,0.0022463542615781167,0.9591707110298675,0.0022598398907757245
25,26,5,0.5457102298736572,0.012021138325102577,1.0397113800048827,0.01904674238447973,0.9602609582511141,0.0021838793899547895,0.9595372684813549,0.0024248609991350057,0.9592810270315523,0.0022479972102204624,0.9593141718946143,0.0022613729135926405
26,27,6,0.5577472686767578,0.019137371375061246,1.0389896869659423,0.028042784821882504,0.9696527947143206,0.0001282787924807028,0.9700595190393198,0.00014985727480085531,0.9689484349879619,0.000133960849688519,0.9690124988255425,0.00013418240196027385
27,28,6,0.5453000545501709,0.012887934789639373,1.0055151462554932,0.018428446879521065,0.9694296018742288,0.0001858947328620839,0.9697033454748614,0.00026006188820783146,0.9687082764476148,0.00019273320901279354,0.968767791599628,0.0001942570613089742
28,29,7,0.5810480117797852,0.0053313074935945875,1.0204392433166505,0.012013069963428553,0.9912123362082343,0.00036274892786180104,0.9910969711311207,0.0003752411945136531,0.9911300031510472,0.0003750802258442334,0.9911117829772673,0.00037624001122919435
29,30,8,0.5790080547332763,0.0064354556481557084,1.0424545764923097,0.011179157110743876,0.9906488112394592,0.00019334082025043045,0.9905149212190858,0.00019822089610989488,0.9905447779389268,0.00019926705872684456,0.9905253368738165,0.00019946202712547626
30,31,8,0.6196819305419922,0.00242578600400416,1.3073846340179442,0.00901591131053333,0.9904865899533661,0.00020408330477344734,0.9903482137058083,0.00020948501038401296,0.9903779233124353,0.00021084747202633147,0.9903574931972752,0.0002111914711509058
31,32,8,0.620112419128418,0.007106795986989541,1.3386827468872071,0.010764911194638904,0.9904788299374024,0.000549070986231442,0.9903434194955267,0.000564126236622682,0.9903478397540463,0.0005447332665791887,0.9903353327378435,0.0005541654658657561
32,33,8,0.625781774520874,0.0049562686196063825,1.339533233642578,0.008442804832182552,0.9898454648249564,0.0004383938329103894,0.9896927405702968,0.0004479250649111483,0.9897100590776746,0.00044545369141334087,0.9896887284360496,0.0004490143800221098
33,34,8,0.6451395511627197,0.00503126470058504,1.3645804882049561,0.008504226191570576,0.9898510076935016,0.0005890075591046813,0.9897024519737764,0.0006005157314079,0.9897034726748821,0.0006002113543286344,0.9896865372848745,0.0006048525512425976
34,35,8,0.6567912578582764,0.006026857837804182,1.3978723526000976,0.00716341018267934,0.9892265111707278,0.0005308912051280484,0.9890609970577096,0.0005401998488864945,0.9890848145510454,0.0005432551136604019,0.9890563397145673,0.0005462417456486409
35,36,9,0.6815484523773193,0.002480548459921763,1.4487408638000487,0.018424132983669437,0.9870884420105093,0.00068776891313699,0.9869086598507657,0.0006906417555913455,0.9868811433622037,0.0007046923057157469,0.9868405762367903,0.0007090087004934618
36,37,9,0.7094011306762695,0.0072925883115897245,1.4707626819610595,0.007338503757000616,0.987162346924447,0.0006526638730107272,0.9869831713695868,0.0006561664542435895,0.9869558462979535,0.0006677434703611671,0.9869159177753091,0.0006721499029900377
37,38,10,0.7246152400970459,0.012167378615338498,1.5036930561065673,0.010013923585094507,0.9869491312477366,0.0006763335426324588,0.9867831293292095,0.0006719334787583143,0.9867225646091221,0.0006984968394017369,0.9866862813041287,0.0007010610430615815
38,39,10,0.7424514770507813,0.015094295083085211,1.5341163635253907,0.018611507979666275,0.9860774227878413,0.0007489221103657597,0.9858983840206521,0.0007418327734227067,0.9858453085887886,0.000772893636078007,0.9857969690068105,0.0007761616492155781
39,40,11,0.7514439582824707,0.009681694668232984,1.512141227722168,0.025118875961068574,0.9900335528309278,0.0004288434125905224,0.9899108887107158,0.0004312568379632534,0.9899175097301015,0.0004418122604672075,0.9898804070621765,0.00044326945912307684
40,41,11,0.769717025756836,0.01626559709598566,1.5574577808380128,0.02493548852369424,0.9902105550998085,0.0005201635545410944,0.9900954665098224,0.0005245559709773787,0.9900887630101073,0.0005333266933512699,0.9900569510424335,0.000536478845274831
41,42,12,0.8046911716461181,0.013676023905320148,1.6026366233825684,0.023844495301951943,0.9915049996674279,0.000283984860878845,0.991405618431594,0.0002896245232627924,0.9914203873490998,0.0002881971701601441,0.9913964146478538,0.0002906810296048767
42,43,12,0.8276891708374023,0.005201344598023661,1.5874367713928224,0.01363405584361219,0.9911273455572062,0.00040406865402454356,0.9910181969674776,0.0004118252334933026,0.9910407605597673,0.0004095977955664361,0.9910113017810651,0.00041348060446181944
43,44,13,0.8509085178375244,0.018799480697449057,1.605869436264038,0.03122954707927615,0.9905261290823226,0.00034343248512934844,0.9904097348156334,0.00034967110533290247,0.9904197740206614,0.000346955908419169,0.9903878446760992,0.00035056190424694506
44,45,14,0.8441720962524414,0.00879879049614882,1.6042484283447265,0.022189990498123712,0.9903942088109439,0.00034584815038457616,0.9902784880685722,0.0003506168059424702,0.9902804198439445,0.0003514834486446956,0.9902491250140123,0.0003542903171202707
45,46,14,0.8608182430267334,0.006707012521465786,1.6495943069458008,0.018512042397336562,0.9899274992794271,0.00026199682881417985,0.9898113749081187,0.00026404891180319964,0.9897956309161321,0.00026748294516453234,0.9897634031955137,0.00026897878316340914
46,47,14,0.8688131809234619,0.007036436601530207,1.674138355255127,0.023631823356902823,0.9897231521923893,0.0002541684438141052,0.9896122589216712,0.00025683556794521865,0.9895772339928172,0.0002578724367740526,0.9895469764886148,0.0002598902634493447
47,48,14,0.8828461170196533,0.007474224383027989,1.6850167274475099,0.020814167843299706,0.9899810803420319,0.00019915146064967813,0.9898749230865416,0.0002023021255440256,0.9898376911047796,0.0002015601771167445,0.9898109334527676,0.00020348866566003587
