;feature_count;external_feature_count;accuracy_mean;accuracy_std;f1_mean;f1_std;f1_change;accuracy_change;f1_is_higher_than_mean;acc_is_higher_than_mean;both_higher_than_mean
0;1;1;51,43 %;0,00;37,86 %;0,00;0,00 %;0,00 %;0;0;0
1;2;1;75,46 %;0,00;66,15 %;0,00;28,29 %;24,03 %;0;0;0
2;3;1;78,21 %;0,00;72,88 %;0,00;6,73 %;2,76 %;0;0;0
3;4;1;79,91 %;0,00;76,67 %;0,00;3,80 %;1,70 %;0;0;0
4;5;1;79,94 %;0,00;76,72 %;0,00;0,04 %;0,03 %;0;0;0
5;6;2;93,80 %;0,00;93,54 %;0,00;16,82 %;13,87 %;0;0;0
6;7;3;93,81 %;0,00;93,54 %;0,00;0,00 %;0,00 %;0;0;0
7;8;3;93,81 %;0,00;93,54 %;0,00;0,00 %;-0,00 %;0;0;0
8;9;3;93,81 %;0,00;93,54 %;0,00;0,00 %;0,00 %;0;0;0
9;10;3;93,81 %;0,00;93,54 %;0,00;0,00 %;0,00 %;0;0;0
10;11;3;93,26 %;0,00;93,04 %;0,00;0,00 %;-0,55 %;0;0;0
11;12;3;93,35 %;0,00;93,12 %;0,00;0,09 %;0,09 %;0;0;0
12;13;3;93,51 %;0,00;93,32 %;0,00;0,19 %;0,16 %;0;0;0
13;14;3;93,38 %;0,00;93,19 %;0,00;0,00 %;-0,13 %;0;0;0
14;15;3;93,27 %;0,00;93,08 %;0,00;0,00 %;-0,11 %;0;0;0
15;16;3;93,14 %;0,00;92,95 %;0,00;0,00 %;-0,13 %;0;0;0
16;17;3;92,80 %;0,00;92,62 %;0,00;0,00 %;-0,34 %;0;0;0
17;18;3;92,16 %;0,00;91,96 %;0,00;0,00 %;-0,64 %;0;0;0
18;19;3;91,78 %;0,00;91,55 %;0,00;0,00 %;-0,39 %;0;0;0
19;20;3;91,85 %;0,00;91,62 %;0,00;0,07 %;0,07 %;0;0;0
20;21;3;91,70 %;0,00;91,47 %;0,00;0,00 %;-0,15 %;0;0;0
21;22;3;91,67 %;0,00;91,43 %;0,00;0,00 %;-0,04 %;0;0;0
22;23;3;91,68 %;0,00;91,45 %;0,00;0,01 %;0,01 %;0;0;0
23;24;4;91,80 %;0,00;91,57 %;0,00;0,12 %;0,12 %;0;0;0
24;25;5;96,01 %;0,00;95,92 %;0,00;4,35 %;4,21 %;0;0;0
25;26;5;96,03 %;0,00;95,93 %;0,00;0,01 %;0,02 %;0;0;0
26;27;6;96,97 %;0,00;96,90 %;0,00;0,97 %;0,94 %;0;0;0
27;28;6;96,94 %;0,00;96,88 %;0,00;0,00 %;-0,02 %;0;0;0
28;29;7;99,12 %;0,00;99,11 %;0,00;2,23 %;2,18 %;1;1;1
29;30;8;99,06 %;0,00;99,05 %;0,00;0,00 %;-0,06 %;1;1;1
30;31;8;99,05 %;0,00;99,04 %;0,00;0,00 %;-0,02 %;1;1;1
31;32;8;99,05 %;0,00;99,03 %;0,00;0,00 %;-0,00 %;1;1;1
32;33;8;98,98 %;0,00;98,97 %;0,00;0,00 %;-0,06 %;1;1;1
33;34;8;98,99 %;0,00;98,97 %;0,00;0,00 %;0,00 %;1;1;1
34;35;8;98,92 %;0,00;98,91 %;0,00;0,00 %;-0,06 %;0;0;0
35;36;9;98,71 %;0,00;98,68 %;0,00;0,00 %;-0,21 %;0;0;0
36;37;9;98,72 %;0,00;98,69 %;0,00;0,01 %;0,01 %;0;0;0
37;38;10;98,69 %;0,00;98,67 %;0,00;0,00 %;-0,02 %;0;0;0
38;39;10;98,61 %;0,00;98,58 %;0,00;0,00 %;-0,09 %;0;0;0
39;40;11;99,00 %;0,00;98,99 %;0,00;0,41 %;0,40 %;0;0;0
40;41;11;99,02 %;0,00;99,01 %;0,00;0,02 %;0,02 %;0;0;0
41;42;12;99,15 %;0,00;99,14 %;0,00;0,13 %;0,13 %;1;1;1
42;43;12;99,11 %;0,00;99,10 %;0,00;0,00 %;-0,04 %;1;1;1
43;44;13;99,05 %;0,00;99,04 %;0,00;0,00 %;-0,06 %;1;1;1
44;45;14;99,04 %;0,00;99,02 %;0,00;0,00 %;-0,01 %;1;1;1
45;46;14;98,99 %;0,00;98,98 %;0,00;0,00 %;-0,05 %;1;1;1
46;47;14;98,97 %;0,00;98,95 %;0,00;0,00 %;-0,02 %;0;0;0
47;48;14;99,00 %;0,00;98,98 %;0,00;0,03 %;0,03 %;0;0;0
;49;15;99,00 %;0,02 %;98,98 %;0,02 %;0,03 %;0,00 %;0;0;0